id,keyo,image hi-res,image 2 retina,direction
62,11,0108_FPF_Barramundi_98255_WEB_high_feature,0108_FPF_Barramundi_98255_WEB_retina_feature,"5. Make the pan sauce: Add the honey (kneading the packet before opening) and 2 tablespoons of water to the pan of melted butter (be careful, as the liquid may splatter). Cook on medium-high, stirring frequently and scraping up any fond, 30 seconds to 1 minute, or until slightly thickened. Turn off the heat and season with salt and pepper to taste."
63,11,0108_FPF_Barramundi_0290_WEB_high_feature,0108_FPF_Barramundi_0290_WEB_retina_feature,6. Serve the cooked fish fillets and roasted vegetables with the yogurt sauce on the side. Top the fish with the pan sauce. Garnish with the chopped parsley. Enjoy!
64,12,0108_FPV_Kale-Quiche_97642_WEB_high_feature,0108_FPV_Kale-Quiche_97642_WEB_retina_feature,1. Prepare the ingredients: Preheat the oven to 425°F. Wash and dry the fresh produce. Peel and roughly chop the garlic. Peel and thinly slice the shallot. Remove and discard the stems of the kale; roughly chop the leaves. Quarter and deseed the lemon.
65,12,0108_FPV_Kale-Quiche_97717_WEB_high_feature,0108_FPV_Kale-Quiche_97717_WEB_retina_feature,"2. In a large pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the chopped garlic and sliced shallot; season with salt and pepper. Cook, stirring occasionally, 1 to 2 minutes, or until softened and fragrant. Add the chopped kale, heavy cream (shaking the bottle just before opening), and 1/4 cup of water; season with salt and pepper. Cook, stirring occasionally, 4 to 5 minutes, or until the kale has wilted and most of the liquid has cooked off. Turn off the heat. Season with salt and pepper to taste."
66,12,0108_FPV_Kale-Quiche_97741_WEB_high_feature,0108_FPV_Kale-Quiche_97741_WEB_retina_feature,"3. Crack the eggs into a large bowl. Add the ricotta cheese, the juice of 1 lemon wedge, and the spice blend; season with salt and pepper. Whisk to thoroughly combine. Stir in the cooked kale."
67,12,0108_FPV_Kale-Quiche_97774_WEB_high_feature,0108_FPV_Kale-Quiche_97774_WEB_retina_feature,"4. Assemble & bake the quiche: Place the pie crust on a sheet pan, leaving it in its tin. Carefully pour the filling into the crust; season with salt and pepper. Bake 24 to 26 minutes, or until the crust is browned and the filling is set and cooked through. Remove from the oven. Let stand for at least 5 minutes before serving."
68,12,0108_FPV_Kale-Quiche_97802_WEB_high_feature,0108_FPV_Kale-Quiche_97802_WEB_high_feature,"5. Prepare the remaining ingredients: While the quiche bakes, quarter and core the apple; thinly slice lengthwise. Place in a bowl and top with the juice of 1 lemon wedge to prevent browning. Cut off and discard the root end of the lettuce; roughly chop the leaves. To make the dressing, in a large bowl, combine the crème fraîche, the juice of the remaining lemon wedges, and a drizzle of olive oil. Season with salt and pepper to taste."
69,12,0108_FPV_Kale-Quiche_97807_WEB_high_feature,0108_FPV_Kale-Quiche_97807_WEB_retina_feature,"6. Make the salad & serve your dish: Just before serving, add the sliced apple and chopped lettuce to the bowl of dressing. Toss to combine; season with salt and pepper to taste. Serve the baked quiche with the salad on the side. Garnish the salad with the almonds. Enjoy!"
70,13,1225_2PV2_Chorizo-Tacos_00103_WEB_high_feature,1225_2PV2_Chorizo-Tacos_00103_WEB_retina_feature,"1. Prepare & roast the vegetables: Preheat the oven to 450°F. Wash and dry the fresh produce. Quarter the mushrooms. Quarter the potatoes lengthwise, then cut crosswise into 1/2- inch pieces. Place the vegetables on a sheet pan. Drizzle with olive oil and season with salt, pepper, and 3/4 of the spice blend; toss to coat. Arrange in an even layer. Roast 21 to 23 minutes, or until browned and tender when pierced with a fork. Remove from the oven."
71,13,1225_2PV2_Mushroom-Potato-Tacos_18402_WEB_high_feature,1225_2PV2_Mushroom-Potato-Tacos_18402_WEB_retina_feature,"2. Prepare the remaining ingredients: While the vegetables roast, roughly chop the piquante peppers. Peel and small dice the shallot. Cut off and discard the root end of the lettuce; roughly chop the leaves. Peel and medium dice the orange. Cut off and discard the ends of the radishes; halve lengthwise, then thinly slice crosswise. Roughly chop the jalapeño pepper; thoroughly wash your hands and cutting board immediately after handling. In a bowl, combine the sour cream, a drizzle of olive oil, and as much of the remaining spice blend as you’d like (you may have extra). Season with salt and pepper to taste."
72,13,1225_2PV2_Chorizo-Tacos_00125_WEB_high_feature,1225_2PV2_Chorizo-Tacos_00125_WEB_retina_feature,"3. Warm the tortillas: While the vegetables continue to roast, place the tortillas on a large piece of aluminum foil. Tightly wrap to seal. Place directly onto the oven rack and warm 5 to 7 minutes, or until heated through and pliable. Transfer to a work surface and carefully unwrap."
73,13,1225_2PV2_Mushroom-Potato-Tacos_18407_WEB_high_feature,1225_2PV2_Mushroom-Potato-Tacos_18407_WEB_retina_feature,"4. Make the pepper relish: While the tortillas warm, in a medium bowl, combine the chopped piquante peppers, diced shallot, half the vinegar, and as much of the chopped jalapeño pepper as you’d like, depending on how spicy you’d like the dish to be. Drizzle with olive oil and season with salt and pepper to taste."
74,13,1225_2PV2_Mushroom-Potato-Tacos_18434_WEB_high_feature,1225_2PV2_Mushroom-Potato-Tacos_18434_WEB_retina_feature,"5. While the tortillas continue to warm, in a medium bowl, combine the chopped lettuce, diced orange, sliced radishes, peanuts, and remaining vinegar. Drizzle with olive oil and season with salt and pepper to taste."
75,13,1225_2PV2_Mushroom-Potato-Tacos_18424_WEB_high_feature,1225_2PV2_Mushroom-Potato-Tacos_18424_WEB_retina_feature,6. Assemble the tacos & serve your dish: Spread a layer of the seasoned sour cream onto the warmed tortillas. Top with the roasted vegetables and pepper relish. Serve the tacos with the salad on the side. Enjoy!
76,14,0108_FPP_Baked-Parmesan-Chicken_98274_WEB_high_feature,0108_FPP_Baked-Parmesan-Chicken_98274_WEB_retina_feature,"1. Prepare the ingredients: Place an oven rack in the center of the oven, then preheat to 450°F. Heat a medium pot of salted water to boiling on high. Wash and dry the fresh produce. Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces, keeping the florets intact. Quarter and deseed the lemon. Peel and medium dice the sweet potatoes."
77,14,0108_FPP_Baked-Parmesan-Chicken_98310_WEB_high_feature,0108_FPP_Baked-Parmesan-Chicken_98310_WEB_retina_feature,"2. Roast the broccoli: Place the broccoli pieces on a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer. Roast 16 to 18 minutes, or until browned and tender when pierced with a fork. Remove from the oven. Evenly top with the juice of 2 lemon wedges."
78,14,0108_FPP_Baked-Parmesan-Chicken_98301_WEB_high_feature,0108_FPP_Baked-Parmesan-Chicken_98301_WEB_retina_feature,"3. Cook & mash the sweet potatoes: While the broccoli roasts, add the diced sweet potatoes to the pot of boiling water. Cook 14 to 16 minutes, or until tender when pierced with a fork. Turn off the heat. Drain thoroughly and return to the pot. Add the butter and a drizzle of olive oil. Using a fork, mash to your desired consistency; season with salt and pepper to taste. Cover to keep warm."
79,14,0108_FPP_Baked-Parmesan-Chicken_98292_WEB_high_feature,0108_FPP_Baked-Parmesan-Chicken_98292_WEB_retina_feature,"4. While the sweet potatoes cook, on a large plate, combine the flour, half the cheese, and all but a pinch of the spice blend; season with salt and pepper. Pat the chicken dry with paper towels; season with salt and pepper on both sides. Working one piece at a time, thoroughly coat the seasoned chicken in the flour mixture (tapping off any excess). Transfer to a separate plate."
80,14,0108_FPP_Baked-Parmesan-Chicken_98316_WEB_high_feature,0108_FPP_Baked-Parmesan-Chicken_98316_WEB_retina_feature,"5. While the sweet potatoes continue to cook, in a large pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the coated chicken and cook 5 to 7 minutes per side, or until golden brown and cooked through. Turn off the heat."
81,14,0108_FPP_Baked-Parmesan-Chicken_98320_WEB_high_feature,0108_FPP_Baked-Parmesan-Chicken_98320_WEB_retina_feature,"6. Make the sauce & serve your dish: While the chicken cooks, in a bowl, combine the mayonnaise, remaining spice blend, and the juice of the remaining lemon wedges; season with salt and pepper to taste. Serve the cooked chicken, roasted broccoli, and mashed sweet potatoes with the sauce on the side. Garnish the chicken with the remaining cheese. Enjoy!"
82,15,1120_2PRE08_Pimento-Burgers_93025_WEB_high_feature,1120_2PRE08_Pimento-Burgers_93025_WEB_retina_feature,"1. Prepare & roast the sweet potato: Place an oven rack in the center of the oven, then preheat to 450°F. Wash and dry the fresh produce. Cut the sweet potato lengthwise into 1-inch wedges. Transfer to a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer, skin side down. Roast 21 to 23 minutes, or until browned and tender when pierced with a fork. Set aside in a warm place."
83,15,1120_2PRE08_Pimento-Burgers_92997_WEB_high_feature,1120_2PRE08_Pimento-Burgers_92997_WEB_retina_feature,"2. Prepare the remaining ingredients: While the sweet potato roasts, grate the cheese on the large side of a box grater. Place in a medium bowl. Finely chop the peppers. Halve the buns."
84,15,1120_2PRE08_Pimento-Burgers_93009_WEB_high_feature,1120_2PRE08_Pimento-Burgers_93009_WEB_retina_feature,"3. Make the pimento cheese: While the sweet potato continues to roast, add the mayonnaise, spice blend, and peppers to the bowl of cheese. Stir to thoroughly combine; season with salt and pepper to taste."
85,15,1120_2PRE08_Pimento-Burgers_93003_WEB_high_feature,1120_2PRE08_Pimento-Burgers_93003_WEB_retina_feature,"4. Form & cook the patties: While the sweet potato continues to roast, place the ground beef in a bowl; season with salt and pepper. Gently mix to incorporate. Using your hands, form the mixture into two ¾-inch-thick patties; transfer to a plate. In a medium pan (nonstick, if you have one), heat 1 teaspoon of olive oil on medium-high until hot. Add the patties and cook 3 to 4 minutes per side for medium-rare, or until browned and cooked to your desired degree of doneness. Leaving any browned bits (or fond) in the pan, transfer to a plate."
86,15,1120_2PRE08_Pimento-Burgers_93016_WEB_high_feature,1120_2PRE08_Pimento-Burgers_93016_WEB_retina_feature,"5. While the sweet potato continues to roast, add the buns, cut side down, to the pan of reserved fond. Toast on medium-high 30 seconds to 1 minute, or until lightly browned. Transfer to a work surface."
87,15,1120_2PRE08_Pimento-Burgers_93030_WEB_high_feature,1120_2PRE08_Pimento-Burgers_93030_WEB_retina_feature,6. Assemble the burgers & plate your dish: Divide half the pimento cheese between the bottoms of the toasted buns. Top with the cooked patties and remaining pimento cheese. Complete the burgers with the bun tops. Divide the burgers and roasted sweet potato between 2 dishes. Enjoy!
88,16,0101_2PRE08_Saucy-Chorizo_18548_WEB_high_feature,0101_2PRE08_Saucy-Chorizo_18548_WEB_retina_feature,"1. Prepare & roast the potatoes: Preheat the oven to 450°F. Wash and dry the fresh produce. Halve the potatoes lengthwise, then cut crosswise into 1/4-inch pieces. Place on a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer. Roast 22 to 24 minutes, or until browned and tender when pierced with a fork. Carefully transfer to a large bowl."
89,16,0101_2PRE08_Saucy-Chorizo_18503_WEB_high_feature,0101_2PRE08_Saucy-Chorizo_18503_WEB_retina_feature,"2. Prepare the remaining ingredients: While the potatoes roast, cut out and discard the core of the cabbage; thinly slice the leaves. Halve the orange; squeeze the juice into a bowl, straining out any seeds. Cut off and discard the ends of the radishes; halve lengthwise, then thinly slice crosswise. Peel and finely chop the garlic; using the flat side of your knife, smash until it resembles a paste (or use a zester). Quarter the lime. In a bowl, combine the crème fraîche and the juice of 1 lime wedge. Drizzle with olive oil and season with salt and pepper to taste."
90,16,0101_2PRE08_Saucy-Chorizo_18571_WEB_high_feature,0101_2PRE08_Saucy-Chorizo_18571_WEB_retina_feature,"3.While the potatoes continue to roast, in a medium pan, heat 2 teaspoons of olive oil on medium-high until hot. Add the ground chorizo; season with salt and pepper. Cook, frequently breaking the meat apart with a spoon, 3 to 5 minutes, or until browned. Add the sliced cabbage; season with salt and pepper. Cook, stirring occasionally, 2 to 3 minutes, or until slightly softened. Add the orange juice and 1/2 cup of water; season with salt and pepper. Cook, stirring occasionally, 6 to 7 minutes, or until the cabbage has softened and the chorizo is cooked through. Turn off the heat and stir in the juice of 2 lime wedges; season with salt and pepper to taste."
91,16,0101_2PRE08_Saucy-Chorizo_18580_WEB_high_feature,0101_2PRE08_Saucy-Chorizo_18580_WEB_retina_feature,"4. Warm the tortillas & season the radishes: While the filling cooks, place the tortillas on a large piece of aluminum foil and tightly wrap to seal. Place directly onto the oven rack and warm 5 to 7 minutes, or until heated through and pliable. Transfer to a work surface and carefully unwrap. While the tortillas warm, in a bowl, combine the sliced radishes and the juice of the remaining lime wedge. Drizzle with olive oil and season with salt and pepper."
92,16,0101_2PRE08_Saucy-Chorizo_18562_WEB_high_feature,0101_2PRE08_Saucy-Chorizo_18562_WEB_retina_feature,"5. Finish the potatoes: While the tortillas continue to warm, add the cheese and as much of the garlic paste as you’d like to the bowl of roasted potatoes. Stir to coat; season with salt and pepper to taste."
93,16,0101_2PRE08_Saucy-Chorizo_18584_WEB_high_feature,0101_2PRE08_Saucy-Chorizo_18584_WEB_retina_feature,"6. Assemble the tacos & serve your dish: Divide the filling, seasoned radishes, and lime crème fraîche among the warmed tortillas. Serve the tacos with the finished potatoes on the side. Enjoy!"
94,17,1218_2PV3_Broccoli-Fregola-Sarde_18471_WEB_high_feature,1218_2PV3_Broccoli-Fregola-Sarde_18471_WEB_retina_feature,"1. Prepare & roast the vegetables: Place an oven rack in the center of the oven, then preheat to 450°F. Heat a medium pot of salted water to boiling on high. Heat a small pot of water to boiling on high. Wash and dry the fresh produce. Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces, keeping the florets intact. Peel and thinly slice the onion. Place the vegetables on a sheet pan. Drizzle with olive oil and season with salt, pepper, and the za’atar seasoning; toss to coat. Arrange in an even layer. Roast 20 to 22 minutes, or until browned and tender when pierced with a fork. Remove from the oven."
95,17,1218_2PV3_Broccoli-Fregola-Sarde_18467_PRINT_WEB_high_feature,1218_2PV3_Broccoli-Fregola-Sarde_18467_PRINT_WEB_retina_feature,"2. Prepare the remaining ingredients: While the vegetables roast, quarter and deseed the lemon. Peel and finely chop the garlic; using the flat side of your knife, smash until it resembles a paste (or use a zester). Roughly chop the almonds. Using a fork, crumble the cheese into small pieces. Pick the mint leaves off the stems; discard the stems."
96,17,1218_2PV3_Broccoli-Fregola-Sarde_18503_WEB_high_feature,1218_2PV3_Broccoli-Fregola-Sarde_18503_WEB_retina_feature,"3. While the vegetables continue to roast, add the pasta to the medium pot of boiling water and cook 14 to 16 minutes, or until tender. Turn off the heat. Drain thoroughly and return to the pot."
97,17,1218_2PV3_Broccoli-Fregola-Sarde_18528_WEB_high_feature,1218_2PV3_Broccoli-Fregola-Sarde_18528_WEB_retina_feature,"4. Cook & peel the eggs: While the pasta cooks, carefully add the eggs to the small pot of boiling water and cook for exactly 9 minutes. Drain and rinse under cold water for 30 seconds to 1 minute to stop the cooking process. When cool enough to handle, carefully peel the cooked eggs. Transfer to a cutting board and thinly slice into rounds; season with salt and pepper."
98,17,1218_2PV3_Broccoli-Fregola-Sarde_18538_WEB_high_feature,1218_2PV3_Broccoli-Fregola-Sarde_18528_WEB_retina_feature,"5. While the eggs cook, in a bowl, whisk together the tahini, the juice of all 4 lemon wedges, 2 tablespoons of water, and as much of the garlic paste as you’d like. Slowly whisk in 2 tablespoons of olive oil until well combined; season with salt and pepper to taste."
99,17,1218_2PV3_Broccoli-Fregola-Sarde_18538_WEB_high_feature,1218_2PV3_Broccoli-Fregola-Sarde_18538_WEB_retina_feature,"6. Finish & serve your dish: Add the roasted vegetables, chopped almonds, crumbled cheese, dressing, and a drizzle of olive oil to the pot of cooked pasta. Stir to combine; season with salt and pepper to taste. Serve the finished salad topped with the seasoned eggs and a drizzle of olive oil. Garnish with the mint leaves (tearing just before adding). Enjoy!"
100,18,citrus-zest-square1_medium,citrus-zest-square1_medium,"1. Prepare & roast the vegetables: Place an oven rack in the center of the oven, then preheat to 450°F. Heat a medium pot of salted water to boiling on high. Line a sheet pan with aluminum foil. Wash and dry the fresh produce. Cut off and discard the stem ends of the Brussels sprouts; halve lengthwise. Peel the carrots; halve lengthwise, then cut crosswise into 1-inch pieces. Place the vegetables on the sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer. Roast 14 to 16 minutes, or until browned and tender when pierced with a fork. Remove from the oven."
101,18,1225_2PV3_Broccoli-Freekeh_18503_WEB_high_feature,1225_2PV3_Broccoli-Freekeh_18503_WEB_retina_feature,"2. While the vegetables roast, peel 1 garlic clove; using the flat side of your knife, gently smash to flatten. Add the smashed garlic and freekeh to the pot of boiling water. Cook, uncovered, 20 to 22 minutes, or until tender. Turn off the heat. Drain thoroughly and return to the pot."
102,18,1225_2PV3_Broccoli-Freekah_18447_WEB_high_feature,1225_2PV3_Broccoli-Freekah_18447_WEB_retina_feature,"3. Prepare the remaining ingredients: While the freekeh cooks, using a peeler, remove the yellow rind of the lemon, avoiding the white pith; mince the rind to get 2 teaspoons of zest (or use a zester). Quarter and deseed the lemon. Peel and finely chop the remaining garlic clove; using the flat side of your knife, smash until it resembles a paste (or use a zester). Roughly chop the almonds. Pit and roughly chop the dates. Pick the mint leaves off the stems; discard the stems."
103,18,1225_2PV3_Broccoli-Freekah_18435_WEB_high_feature,1225_2PV3_Broccoli-Freekah_18435_WEB_retina_feature,"4. Make the lemon yogurt: While the freekeh continues to cook, in a bowl, combine the yogurt, lemon zest, the juice of 1 lemon wedge, and as much of the garlic paste as you’d like. Drizzle with olive oil and season with salt and pepper to taste."
104,18,1225_2PV3_Broccoli-Freekeh_18508_WEB_high_feature,1225_2PV3_Broccoli-Freekah_18435_WEB_retina_feature,"5. To the pot of cooked freekeh, add the peppers, chopped almonds and dates, roasted vegetables, the juice of the remaining lemon wedges, half the mint leaves (tearing just before adding), and as much of the red pepper flakes as you’d like, depending on how spicy you’d like the dish to be. Drizzle with olive oil and stir to combine. Season with salt and pepper to taste."
105,18,1225_2PV3_Broccoli-Freekeh_18513_WEB_high_feature,1225_2PV3_Broccoli-Freekeh_18513_WEB_retina_feature,"6. Serve the finished salad with the lemon yogurt on the side. Garnish the salad with the cheese (crumbling before adding), remaining mint leaves (tearing just before adding), and a drizzle of olive oil. Enjoy!"
106,19,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18401_WEB_high_feature,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18401_WEB_retina_feature,"1. Prepare & roast the cauliflower: Place an oven rack in the center of the oven, then preheat to 450°F. Heat a small pot of water to boiling on high. Wash and dry the fresh produce. Cut out and discard the core of the cauliflower; cut into small pieces. Place on a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer. Roast 22 to 24 minutes, or until lightly browned and tender when pierced with a fork. Carefully transfer to a large bowl."
107,19,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18485_WEB_high_feature,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18485_WEB_retina_feature,"2. Prepare the remaining ingredients: While the cauliflower roasts, peel and thinly slice the shallot. Peel and roughly chop the garlic. Remove and discard the stems of the kale; roughly chop. Using a peeler, remove the yellow rind of the lemon, avoiding the white pith; mince the rind to get 2 teaspoons of zest (or use a zester). Quarter and deseed the lemon."
108,19,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18485_WEB_high_feature,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18485_WEB_retina_feature,"3. Cook & peel the eggs: While the cauliflower continues to roast, carefully add the eggs to the pot of boiling water and cook for exactly 7 minutes. Drain and rinse under cold water for 30 seconds to 1 minute to stop the cooking process. When cool enough to handle, carefully peel the cooked eggs."
109,19,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18459_WEB_high_feature,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18459_WEB_retina_feature,"4. Make the parmesan breadcrumbs: While the eggs cook, in a medium pan (nonstick, if you have one), heat 2 teaspoons of olive oil on medium-high until hot. Add the breadcrumbs; season with salt and pepper. Toast, stirring frequently, 2 to 4 minutes, or until lightly browned. Transfer to a bowl and stir in the cheese; season with salt and pepper to taste. Wipe out the pan."
110,19,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18467_WEB_high_feature,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18467_WEB_retina_feature,"5. In the same pan, heat 1 tablespoon of olive oil on medium-high until hot. Add the sliced shallot and chopped garlic; season with salt and pepper. Cook, stirring frequently, 1 to 2 minutes, or until softened. Add the chopped kale and 1⁄4 cup of water; season with salt and pepper. Cook, stirring occasionally, 3 to 4 minutes, or until the kale has wilted and the water has cooked off. Turn off the heat. Stir in the lemon zest. Transfer to the bowl of roasted cauliflower. Gently stir to combine; season with salt and pepper to taste. Wipe out the pan."
111,19,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18473_WEB_high_feature,0101_2PV3_Roasted-Cauliflower-Kale-Salad_18473_WEB_retina_feature,"6. Make the brown butter & plate your dish: In the same pan, heat the butter on medium-high until melted. Cook, stirring frequently and swirling the pan, 1 to 2 minutes, or until browned and nuttily fragrant. (Be careful not to overcook, as the butter can burn easily.) Turn off the heat. Stir in the capers and the juice of all 4 lemon wedges; season with salt and pepper to taste. Top the finished cauliflower and kale with the brown butter, parmesan breadcrumbs, and peeled eggs; season the eggs with salt and pepper. Enjoy!"
112,20,1120_FPP_Roasted-Chicken_92274_WEB_high_feature,1120_FPP_Roasted-Chicken_92274_WEB_retina_feature,"1. Preheat the oven to 450°F. Line a sheet pan with aluminum foil. Pat the chicken dry with paper towels and place on the foil. Season on both sides with salt, pepper, and the spice blend. Drizzle with olive oil and turn to coat; arrange skin side up. Roast 36 to 38 minutes, or until browned and cooked through. (An instant-read thermometer inserted into the thickest part of the thigh should register 165ºF.) Reserving any drippings on the sheet pan, transfer to a cutting board and let rest for at least 5 minutes."
113,20,1120_FPP_Roasted-Chicken_92217_WEB_high_feature,1120_FPP_Roasted-Chicken_92217_WEB_retina_feature,"2. Prepare the ingredients: While the chicken roasts, wash and dry the fresh produce. Medium dice the sweet potatoes. Cut off and discard the ends of the Brussels sprouts; halve lengthwise."
114,20,1120_FPP_Roasted-Chicken_92263_WEB_high_feature,1120_FPP_Roasted-Chicken_92263_WEB_retina_feature,"3. Roast the vegetables:
While the chicken continues to roast, place the sweet potatoes and
Brussels sprouts on a separate sheet pan. Drizzle with olive oil and season
with salt and pepper; toss to coat. Arrange in an even layer. Roast, stirring
halfway through, 24 to 26 minutes, or until lightly browned and tender when
pierced with a fork. Remove from the oven and top with the vinegar;
carefully stir to coat. Set aside in a warm place."
115,20,1120_FPP_Roasted-Chicken_92259_WEB_high_feature,1120_FPP_Roasted-Chicken_92259_WEB_retina_feature,"4. Prepare the remaining ingredients:
While the vegetables roast, peel and finely chop the ginger. Roughly chop the
walnuts."
116,20,1120_FPP_Roasted-Chicken_92267_WEB_high_feature,1120_FPP_Roasted-Chicken_92267_WEB_retina_feature,"5. While the vegetables continue to roast, in a small saucepan, combine the cranberries, sugar, ginger, and 1/4 cup of water; season with salt and pepper. Heat to boiling on high. Once boiling, reduce the heat to medium high. Cook, stirring occasionally, 4 to 6 minutes, or until thickened and the cranberries are mostly broken down; season with salt and pepper to taste. Transfer to a serving dish."
117,20,1120_FPP_Roasted-Chicken_92281_WEB_high_feature,1120_FPP_Roasted-Chicken_92281_WEB_retina_feature,"6. Carve the chicken & serve your dish: Using a sharp, sturdy knife, cut along the leg of the rested chicken to separate the thigh and breast. Cut the breast in half crosswise through the bone (keeping the wing intact). Cut through the joint connecting the drumstick to the thigh. Divide the carved chicken and finished vegetables among 4 dishes. Top with any reserved drippings. Garnish with the walnuts. Serve the compote on the side. Enjoy!"
118,21,0108_2PRE08_Roasted-Pork_98424_WEB_high_feature,0108_2PRE08_Roasted-Pork_98424_WEB_retina_feature,"1. Roast the pork & broccoli: Place an oven rack in the center of the oven, then preheat to 450°F. Line a sheet pan with aluminum foil. Wash and dry the fresh produce. Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into large pieces, keeping the florets intact. Place on the sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer on one side of the sheet pan. Pat the pork dry with paper towels; season on all sides with salt, pepper, and the spice blend. Place on the other side of the sheet pan. Drizzle with olive oil; turn to coat. Roast, rotating the sheet pan halfway through, 26 to 28 minutes, or until the broccoli is browned and the pork is cooked through. (An instant-read thermometer inserted into the pork should register 145°F.) Remove from the oven. Transfer the roasted pork to a cutting board and let rest for at least 5 minutes."
119,21,0108_2PRE08_Roasted-Pork_98396_WEB_high_feature,0108_2PRE08_Roasted-Pork_98396_WEB_retina_feature,"2. Prepare the ingredients: While the pork and broccoli roast, peel and finely chop the garlic; using the side of your knife, smash until it resembles a paste (or use a zester). Core and medium dice the apple. Small dice the cheese."
120,21,0108_2PRE08_Roasted-Pork_98400_WEB_high_feature,0108_2PRE08_Roasted-Pork_98400_WEB_retina_feature,"3. While the pork and broccoli continue to roast, in a medium pan, heat a drizzle of olive oil on medium-high until hot. Add the breadcrumbs and half the garlic paste. Cook, stirring constantly, 2 to 3 minutes, or until golden brown. Transfer to a plate; immediately season with salt and pepper. Wipe out the pan."
121,21,0108_2PRE08_Roasted-Pork_98411_WEB_high_feature,0108_2PRE08_Roasted-Pork_98411_WEB_retina_feature,"4. While the pork and broccoli continue to roast, in the same pan, heat a drizzle of olive oil on medium-high until hot. Add the diced apple; season with salt and pepper. Cook, stirring occasionally, 3 to 5 minutes, or until slightly softened. Add the vinegar and cook, stirring constantly, 30 seconds to 1 minute, or until the liquid has cooked off. Transfer to a bowl; season with salt and pepper to taste. Cover with aluminum foil to keep warm. Rinse and wipe out the pan."
122,21,0108_2PRE08_Roasted-Pork_98430_WEB_high_feature,0108_2PRE08_Roasted-Pork_98430_WEB_retina_feature,"5. Make the cheese sauce: While the pork rests, in the same pan, heat 1 1⁄2 tablespoons of olive oil on medium-high until hot. Add the flour and remaining garlic paste; season with salt and pepper. Cook, stirring constantly, 30 seconds to 1 minute, or until lightly browned and fragrant. Add the milk and 1/2 cup of water; season with salt and pepper. Cook, whisking frequently, 2 to 3 minutes, or until thickened. Add the diced cheese; season with salt and pepper. Cook, whisking constantly, 1 to 2 minutes, or until the cheese has melted. Turn off the heat and season with salt and pepper to taste."
123,21,0108_2PRE08_Roasted-Pork_98440_WEB_high_feature,0108_2PRE08_Roasted-Pork_98440_WEB_retina_feature,6. Slice the pork & serve your dish: Find the lines of muscle (or grain) on the rested pork; thinly slice crosswise against the grain. Serve the sliced pork with the roasted broccoli and cheese sauce. Top the pork with the cooked apple and garlic breadcrumbs. Enjoy!
124,22,0108_2PV1_Roasted-Pepper-Pasta_97872_WEB_high_feature,0108_2PV1_Roasted-Pepper-Pasta_97872_WEB_retina_feature,"1. Prepare & roast the broccoli: Place an oven rack in the center of the oven, then preheat to 450°F. Heat a large pot of salted water to boiling on high. Wash and dry the fresh produce. Quarter and deseed the lemon. Cut off and discard the bottom 1/2 inch of the broccoli stem; cut the broccoli into small pieces, keeping the florets intact. Place on a sheet pan. Drizzle with olive oil and season with salt and pepper; toss to coat. Arrange in an even layer. Roast 16 to 18 minutes, or until browned and tender when pierced when pierced with a fork. Remove from the oven. Evenly top with the juice of 2 lemon wedges."
125,22,0108_2PV1_Roasted-Pepper-Pasta_97867_WEB_high_feature,0108_2PV1_Roasted-Pepper-Pasta_97867_WEB_retina_feature,"2. While the broccoli roasts, add the pasta to the pot of boiling water and cook 8 to 10 minutes, or until al dente (still slightly firm to the bite). Reserving 1⁄2 cup of the pasta cooking water, drain thoroughly."
126,22,0108_2PV1_Roasted-Pepper-Pasta_97877_WEB_high_feature,0108_2PV1_Roasted-Pepper-Pasta_97877_WEB_retina_feature,"3. Prepare the remaining ingredients: While the pasta cooks, peel and roughly chop the garlic. Finely chop the peppers."
